Date,Open,High,Low,Close,Volume,sentiment,signal,equity
2025-06-09,530.14,532.35,529.01,530.7,33688671,0.0,Hold,1.0503198870544257
2025-06-10,531.17,534.9,528.89,534.21,40664795,0.0,Hold,1.0572666042271428
2025-06-11,535.62,536.78,530.11,532.41,53701033,0.0,Hold,1.0537041851642108
2025-06-12,531.09,534.6438,530.84,533.66,34104887,0.0,Hold,1.056178087291247
2025-06-13,527.68,531.87,525.73,526.96,55814443,0.0,Hold,1.0429179718903339
2025-06-16,530.5,535.37,530.45,534.29,37622051,0.0,Hold,1.057424933963273
2025-06-17,531.71,533.325,527.91,529.08,42180866,0.0,Hold,1.047113709897787
2025-06-18,530.1,532.55,527.4,528.99,43983522,0.0,Hold,1.0469355889446403
2025-06-20,532.26,533.56,524.88,526.83,61643519,0.0,Hold,1.042660686069122
2025-06-23,526.81,532.17,523.65,531.65,50666146,0.0,Hold,1.052200052670973
2025-06-24,536.89,540.7,536.27,539.78,45441982,0.0,Hold,1.0682903121052154
2025-06-25,542.06,543.31,539.38,541.16,44804168,0.0,Hold,1.0710215000534633
2025-06-26,543.35,546.67,541.52,546.22,43811432,0.0,Hold,1.0810358558637054
2025-06-27,547.26,549.99,544.545,548.09,57577147,0.0,Hold,1.0847368134457513
2025-06-30,551.26,552.8,549.01,551.64,45548742,0.0,Hold,1.0917626954865336
2025-07-01,549.73,550.71,544.66,546.99,56166736,0.0,Hold,1.0825597795739594
2025-07-02,546.16,551.0,546.12,550.8,36538281,0.0,Hold,1.0901002332571652
2025-07-03,553.18,557.2,553.18,556.22,26443524,0.0,Hold,1.1008270728799936
2025-07-07,553.52,554.34,549.58,552.03,45349323,0.0,Hold,1.0925345529501687
2025-07-08,553.38,554.01,551.1,552.34,36153258,0.0,Hold,1.0931480806776737
2025-07-09,554.48,557.63,553.1,556.25,43045534,0.0,Hold,1.1008864465310424
2025-07-10,556.89,557.3,552.75,555.45,34710913,0.0,Hold,1.0993031491697394
2025-07-11,553.3,555.79,552.05,554.2,39618635,0.0,Hold,1.0968292470427035
2025-07-14,553.99,556.945,551.63,556.21,36453314,0.0,Hold,1.1008072816629775
2025-07-15,560.25,560.8,556.66,556.72,43277661,0.0,Hold,1.1018166337308082
2025-07-16,557.28,560.21,551.56,557.29,52314711,0.0,Hold,1.1029447331007367
2025-07-17,558.02,562.31,557.21,561.8,40423778,0.0,Hold,1.1118705719750828
2025-07-18,563.12,564.7262,559.98,561.26,50484704,0.0,Hold,1.1108018462562033
2025-07-21,562.09,566.06,562.06,564.17,39595214,0.0,Hold,1.1165610904079433
2025-07-22,564.3,564.35,558.61,561.25,43270647,0.0,Hold,1.1107820550391871
2025-07-23,562.34,563.85,559.58,563.81,40215259,0.0,Hold,1.1158486065953568
2025-07-24,565.13,566.24,563.295,565.01,42275541,0.0,Hold,1.1182235526373114
2025-07-25,564.93,567.695,564.27,566.37,30630813,0.0,Hold,1.1209151581515269
2025-07-28,567.74,569.04,566.87,568.14,31498739,0.0,Hold,1.1244182035634098
2025-07-29,570.76,572.11,566.53,567.26,45463317,0.0,Hold,1.1226765764659765
2025-07-30,568.18,570.62,565.05,568.02,43433777,0.0,Hold,1.1241807089592144
2025-07-31,574.54,574.63,563.87,565.01,64613590,0.0,Hold,1.1182235526373117
2025-08-01,558.83,559.02,551.68,553.88,69400789,0.0,Hold,1.0961959280981826
2025-08-04,559.05,564.315,558.95,564.1,47669751,0.0,Hold,1.1164225518888293
2025-08-05,565.39,566.5607,559.73,560.27,48666640,0.0,Hold,1.1088425157715907
2025-08-06,561.11,567.76,560.63,567.32,41823677,0.0,Hold,1.1227953237680741
2025-08-07,571.67,573.32,565.11,569.24,44462972,0.0,Hold,1.1265952374352013
2025-08-08,570.45,574.77,570.15,574.55,35255472,0.0,Hold,1.1371043736708502
2025-08-11,574.69,576.8,571.57,572.85,33112917,0.0,Hold,1.1337398667780811
2025-08-12,575.16,580.35,572.485,580.05,42271441,0.0,Hold,1.1479895430298088
2025-08-13,582.76,583.3199,578.94,580.34,41209294,0.0,Hold,1.1485634883232811
2025-08-14,578.28,581.88,577.91,579.89,45425043,0.0,Hold,1.147672883557548
2025-08-15,579.8,579.84,575.5743,577.34,49480161,0.0,Hold,1.1426261232183945
2025-08-18,576.44,577.765,575.2412,577.11,29830957,0.0,Hold,1.1421709252270198
2025-08-19,576.39,576.56,568.25,569.28,53752635,0.0,Hold,1.126674402303266
2025-08-20,568.33,568.45,558.84,565.9,76781087,0.0,Hold,1.1199849709517606
2025-08-21,564.35,566.49,560.98,563.28,46436899,0.0,Hold,1.114799672093493
2025-08-22,564.67,573.99,563.27,571.97,51502129,0.0,Hold,1.1319982396806476
2025-08-25,570.4,573.2871,569.16,570.32,34044749,0.0,Hold,1.12873268887296
2025-08-26,569.83,572.92,568.8,572.61,34103014,0.0,Hold,1.13326487756969
2025-08-27,571.59,574.405,570.37,573.49,36927144,0.0,Hold,1.1350065046671234
2025-08-28,574.11,578.0,572.46,577.08,46787857,0.0,Hold,1.142111551575971
2025-08-29,574.655,575.03,568.54,570.4,56030409,0.0,Hold,1.1288910186090904
2025-09-02,561.31,565.965,559.535,565.62,65876765,0.0,Hold,1.1194308168753044
2025-09-03,569.23,571.695,566.725,570.07,54230213,0.0,Hold,1.128237908447553
2025-09-04,570.74,575.6,569.025,575.23,47526280,0.0,Hold,1.1384501764279578
2025-09-05,580.49,581.12,571.53,576.06,68342532,0.0,Hold,1.1400928474403096
2025-09-08,578.37,580.84,577.77,578.87,46371354,0.0,Hold,1.1456541794218866
2025-09-09,579.67,580.94,577.04,580.51,44007592,0.0,Hold,1.1488999390125578
2025-09-10,583.74,583.77,578.55,580.7,49307959,0.0,Hold,1.1492759721358674
2025-09-11,583.24,584.88,581.62,584.08,44745766,0.0,Hold,1.155965403487373
2025-09-12,585.04,587.86,584.1,586.66,50745886,0.0,Hold,1.1610715374775753
2025-09-15,588.44,591.79,588.295,591.68,44360315,0.0,Hold,1.171006728419752
2025-09-16,592.61,592.86,590.49,591.18,36942130,0.022727272727272724,Hold,1.1700171675689377
2025-09-17,591.1,591.75,584.365,590.0,69384820,0.0016414141414141398,Hold,1.1676818039610157
2025-09-18,594.91,598.14,592.96,595.32,61069294,0.07277777777777777,Hold,1.1782107314136814
2025-09-19,597.33,600.05,595.85,599.35,58196109,0.15048190235690234,Hold,1.1861865918712455
